ID,Name(Romaji),Name(Localised),Gender,Type,Position,Alt Position,Element,Preferred Playstyle,Total Stats,usage_rate
81,Kyo Murobushi,Philip Marvel,Male,Player,DF,MF,Mountain,Breach,663,0.0
83,Nori Inada,Noel Good,Male,Player,DF,MF,Forest,Rough Play,663,0.0
85,Iwao Terakawa,Tyron Rock,Male,Player,MF,FW,Fire,Counter,667,0.0
87,Kei Fujimaru,Francis Tell,Male,Player,MF,FW,Forest,Bond,667,0.0
89,Baku Sango,Samuel Buster,Male,Player,MF,FW,Fire,Bond,667,0.0
91,Seri Yamagishi,Jonathan Seller,Male,Player,FW,MF,Wind,Justice,671,0.0
93,Shin Obe,Victor Kind,Male,Player,MF,FW,Forest,Bond,667,0.0
95,Arata Shimozuru,Neil Turner,Male,Player,FW,MF,Fire,Tension,671,0.0
96,Arata Shimozuru,Neil Turner,Male,Player,FW,?,Fire,Unknown,0,0.0
97,Toboshi Mashimo,Reg Underwood,Male,Player,GK,MF,Forest,Tension,656,0.0
99,Shizuka Tsuzuki,Patrick Stiller,Male,Player,MF,FW,Wind,Tension,667,0.0
101,Jin Hirao,Charles Oughtry,Male,Player,MF,FW,Mountain,Breach,667,0.0
103,So Nagatomo,Clive Mooney,Male,Player,FW,MF,Fire,Rough Play,665,0.0
104,Nashi Mizubuchi,Neil Waters,Male,Player,DF,FW,Forest,Justice,663,0.0
106,Shinichiro Toyama,Newton Thomas,Male,Manager,MF,DF,Forest,Counter,667,0.0
107,So Aidoru,Sam Idol,Male,Player,GK,MF,Mountain,Tension,667,0.0
108,Tetsuo Sujimichi,Marcus Train,Male,Player,DF,MF,Fire,Rough Play,663,0.0
109,Raito Noberu,Light Nobel,Male,Player,MF,DF,Forest,Justice,667,0.0
110,Hideo Muteki,Walter Valiant,Male,Player,MF,FW,Fire,Counter,672,0.0
111,So Karisawa,Spencer Gates,Male,Player,DF,MF,Mountain,Rough Play,663,0.0
112,Itsuki Onra,Josh Spear,Male,Player,FW,MF,Forest,Justice,665,0.0
113,Haru Onotomo,Gaby Farmer,Male,Player,FW,MF,Wind,Bond,665,0.0
114,Goki Robo,A. Woodbridge,Male,Player,MF,FW,Wind,Counter,667,0.0
115,Konomu Geimu,Gus Gamer,Male,Player,FW,MF,Fire,Tension,665,0.0
116,Moe Manga,Mark Gambling,Male,Player,FW,MF,Wind,Bond,671,0.0
117,Tatsuhito Akeito,Theodore Master,Male,Player,FW,MF,Forest,Rough Play,666,0.0
118,Tsutomu Kiuchi,Ham Signalman,Male,Player,MF,DF,Wind,Breach,667,0.0
119,Sakuo Zokei,Bill Formby,Male,Player,DF,FW,Mountain,Breach,663,0.0
120,Sota Toma,Grant Eldorado,Male,Player,GK,FW,Fire,Tension,656,0.0
121,Sakuta Seimo,Mike Vox,Male,Player,DF,MF,Wind,Counter,663,0.0
122,Saguri Netto,Ollie Webb,Male,Player,DF,MF,Forest,Counter,663,0.0
123,Saito Maniya,Manny Artic,Male,Manager,MF,DF,Mountain,Justice,667,0.0
124,Meina Meido,Meina Maiden,Female,Coordinator,DF,FW,Forest,Breach,663,0.0
125,Santa Momochi,Morgan Sanders,Male,Player,GK,MF,Forest,Bond,656,0.0
126,Nagato Fujibayashi,Newton Flust,Male,Player,DF,MF,Mountain,Tension,663,0.0
127,Jin Kosaka,Jim Hillfort,Male,Player,DF,MF,Wind,Justice,663,0.0
128,Gamasuke Jiraiya,Galen Thunderbird,Male,Player,DF,MF,Mountain,Bond,663,0.0
129,Goeta Ishikawa,Finn Stoned,Male,Player,DF,MF,Fire,Tension,663,0.0
130,Koheita Fuma,Phil Wingate,Male,Player,MF,DF,Mountain,Justice,672,0.0
131,Gen Koga,Jez Shell,Male,Player,MF,DF,Wind,Bond,667,0.0
132,Sanosuke Sarutobi,Jupiter Jumper,Male,Player,MF,DF,Wind,Rough Play,667,0.0
133,Juro Yagyu,Sam Samurai,Male,Player,FW,DF,Forest,Breach,666,0.0
134,Hanzo Hatsutori,Hank Sullivan,Male,Player,MF,DF,Forest,Bond,672,0.0
135,Saiji Kirigakure,Sail Bluesea,Male,Player,FW,DF,Fire,Breach,671,0.0
136,Yasaburo Hachiya,John Reynolds,Male,Player,FW,MF,Wind,Bond,666,0.0
137,Dan Kato,Dan Hopper,Male,Player,DF,FW,Mountain,Counter,663,0.0
138,Kiyomori Ideura,Cal Trops,Male,Player,MF,FW,Forest,Tension,667,0.0
139,Kazuma Takigawa,Winston Falls,Male,Player,MF,DF,Wind,Rough Play,667,0.0
140,Yamon Kido,Kevin Castle,Male,Player,GK,MF,Wind,Bond,656,0.0
141,Senichi Igajima,Sammy Igajima,Male,Manager,MF,DF,Fire,Breach,667,0.0
142,Yuichi Ayano,Albert Green,Male,Player,GK,MF,Fire,Counter,667,0.0
143,Eisuke Sumino,Seward Hayseed,Male,Player,DF,FW,Mountain,Bond,663,0.0
144,Kazunori Serizawa,Kent Work,Male,Player,DF,MF,Forest,Justice,663,0.0
145,Hiroshi Makiya,Mark Hillvalley,Male,Player,DF,GK,Mountain,Rough Play,663,0.0
146,Hiro Shiotani,Herb Sherman,Male,Player,DF,FW,Fire,Counter,663,0.0
147,Yo Yamane,Joe Small,Male,Player,MF,DF,Mountain,Justice,667,0.0
148,Shoji Ikui,Ike Steiner,Male,Player,MF,DF,Forest,Breach,667,0.0
149,Noboru Ogoi,Orville Newman,Male,Player,MF,FW,Fire,Justice,667,0.0
150,Toru Harano,Tom Walters,Male,Player,MF,FW,Mountain,Rough Play,667,0.0
151,Daichi Negami,Daniel Dawson,Male,Player,MF,FW,Wind,Bond,667,0.0
152,Shigeki Tanushimaru,Stuart Racoonfur,Male,Player,FW,MF,Forest,Justice,666,0.0
153,Hisashi Kusao,Lorne Mower,Male,Player,GK,FW,Mountain,Breach,656,0.0
154,Uehito Yoneyama,Homer Grower,Male,Player,DF,MF,Mountain,Breach,663,0.0
155,Shigeki Inukai,Rolf Howells,Male,Player,DF,MF,Wind,Bond,663,0.0
156,Sakuhei Fukui,Luke Lively,Male,Player,DF,FW,Forest,Tension,663,0.0
157,Chihiro Fuji,Ben Nevis,Male,Player,DF,FW,Wind,Rough Play,663,0.0
158,Kamekichi Shinno,Turtle Newfield,Male,Manager,MF,DF,Wind,Counter,667,0.0
159,Yowami Nanzan,John Neville,Male,Player,GK,DF,Fire,Counter,656,0.0
160,Mamoru Nishigaki,Malcolm Night,Male,Player,DF,MF,Fire,Counter,671,0.0
161,Akihi Megawa,Alfred Meenan,Male,Player,DF,MF,Forest,Justice,671,0.0
162,Dan Mitsumune,Dan Mirthful,Male,Player,DF,FW,Forest,Rough Play,663,0.0
163,Ritsuki Kurobe,Ricky Clover,Male,Player,DF,FW,Mountain,Justice,663,0.0
164,Dan Tobiyama,Toby Damian,Male,Player,MF,FW,Wind,Bond,667,0.0
165,Naoto Yakata,York Nashmith,Male,Player,MF,FW,Forest,Justice,672,0.0
166,Sakito Mogi,Zachary Moore,Male,Player,MF,FW,Forest,Breach,667,0.0
167,Masaru Mukata,Marvin Murdock,Male,Player,FW,MF,Fire,Rough Play,671,0.0
168,Tomo Mukata,Thomas Murdock,Male,Player,FW,MF,Wind,Rough Play,671,0.0
169,Tsutomu Mukata,Tyler Murdock,Male,Player,FW,MF,Mountain,Justice,671,0.0
170,Masanori Dando,Simon Calier,Male,Player,GK,DF,Forest,Tension,656,0.0
171,Nenji Fukazawa,Brody Gloom,Male,Player,MF,FW,Mountain,Breach,667,0.0
172,Yuichi Mamorino,Victor Talis,Male,Player,MF,DF,Forest,Counter,667,0.0
173,Yosuke Nakai,Eren Middleton,Male,Player,DF,MF,Mountain,Bond,663,0.0
174,Seiki Ishii,Peter Wells,Male,Player,DF,FW,Wind,Bond,663,0.0
175,Shugo Nikaido,Seth Nichols,Male,Manager,DF,FW,Wind,Justice,663,0.0
176,Donichi Posei,Paul Siddon,Male,Player,GK,MF,Mountain,Breach,667,0.0
177,Hikaru Aporo,Apollo Light,Male,Player,DF,MF,Forest,Justice,672,0.0
178,En Hepai,Jeff Iron,Male,Player,DF,MF,Fire,Counter,672,0.0
179,Ran Aresu,Lane War,Male,Player,DF,MF,Mountain,Bond,672,0.0
180,Geki Deio,Danny Wood,Male,Player,DF,MF,Wind,Bond,672,0.0
181,Saneki Arute,Artie Mishman,Male,Player,MF,DF,Wind,Rough Play,672,0.0
182,Matsuaki Herume,Arion Matlock,Male,Player,MF,DF,Forest,Rough Play,672,0.0
183,Tomo Atena,Wesley Knox,Male,Player,MF,DF,Forest,Justice,672,0.0
184,Yutaka Demete,Jonas Demetrius,Male,Player,FW,MF,Fire,Tension,671,0.0
185,Terumi Afuro,Byron Love,Male,Player,MF,FW,Forest,Breach,693,0.0
186,Tadashi Hera,Henry House,Male,Player,MF,DF,Fire,Bond,672,0.0
187,Michiyuki Ika,Iggy Russ,Male,Player,GK,MF,Wind,Bond,656,0.0
188,Tamamatsu Aki,Gus Heeley,Male,Player,FW,DF,Mountain,Bond,665,0.0
189,Resu Heraku,Harry Closs,Male,Player,DF,MF,Fire,Counter,663,0.0
190,Tokio Kurono,Andy Chronic,Male,Player,DF,MF,Forest,Breach,663,0.0
191,Usa Medo,Ned Yousef,Male,Player,MF,DF,Mountain,Justice,667,0.0
192,Hiroto Munakata,Herman Muller,Male,Player,GK,DF,Wind,Justice,656,0.0
193,Kaito Hideyama,Keth Claus,Male,Player,DF,MF,Wind,Justice,663,0.0
194,Ryota Kitagaki,Robert Silver,Male,Player,DF,MF,Wind,Rough Play,663,0.0
195,Itsuki Sejima,Izzy Island,Male,Player,DF,MF,Forest,Tension,663,0.0
196,Sota Shintake,Sothern Newman,Male,Player,DF,MF,Mountain,Tension,663,0.0
197,Haru Ikejiri,Irwin Hall,Male,Player,MF,DF,Forest,Counter,667,0.0
198,Hibiki Terasaka,Taylor Higgins,Male,Player,MF,DF,Wind,Bond,667,0.0
199,Sora Kozu,Jamie Cool,Male,Player,MF,FW,Wind,Justice,667,0.0
200,Ryusuke Hazama,Hans Randall,Male,Player,FW,MF,Fire,Bond,665,0.0
201,Rikuto Morimoto,Michael Riverside,Male,Player,MF,FW,Mountain,Tension,667,0.0
202,Mako Kisaragi,Millie Moonlight,Female,Player,FW,MF,Forest,Counter,671,0.0
203,Kaoru Aoshima,Karl Blue,Male,Player,MF,DF,Mountain,Rough Play,667,0.0
204,Kazuya Amai,Theakston Plank,Male,Player,FW,MF,Wind,Breach,666,0.0
205,Ken Hirata,Ken Cake,Male,Player,FW,DF,Mountain,Justice,666,0.0
206,Seiji Hasebe,Mitch Grumble,Male,Player,MF,DF,Wind,Breach,667,0.0
207,Yuichi Oshima,Bart Grantham,Male,Player,GK,MF,Forest,Tension,656,0.0
208,Seigo Hibiki,Seymour Hillman,Male,Manager,GK,FW,Mountain,Breach,674,0.0
209,Kazuto Ukishima,Charles Island,Male,Player,DF,MF,Forest,Justice,671,0.0
210,Kirito Kamimura,Garret Hairtown,Male,Player,DF,FW,Wind,Justice,663,0.0
211,Chikara Aida,Arthur Sweet,Male,Player,DF,FW,Mountain,Bond,671,0.0
212,Manabu Batora,Peter Mildred,Male,Player,MF,DF,Forest,Justice,667,0.0
213,Yo Nakama,Josh Nathaniel,Male,Player,MF,DF,Forest,Rough Play,667,0.0
214,Gengoro Ikari,Edward Gladstone,Male,Player,MF,FW,Fire,Tension,667,0.0
215,Tamotsu Teira,Tyler Thomas,Male,Player,MF,FW,Mountain,Tension,667,0.0
216,Yo Tamiyama,Joseph Yosemite,Male,Player,FW,DF,Wind,Counter,666,0.0
217,Iwao Sugata,Ian Suffolk,Male,Player,MF,FW,Fire,Justice,667,0.0
218,Koichi Biruda,Constant Builder,Male,Player,FW,MF,Fire,Rough Play,672,0.0
219,Haito Kunikida,Ted Poe,Male,Player,FW,MF,Forest,Counter,666,0.0
220,Ryoji Michiba,Marshall Heart,Male,Player,FW,MF,Wind,Justice,665,0.0
221,Koji Tsuchimori,Dom Foreman,Male,Player,MF,FW,Mountain,Bond,667,0.0
222,Ryu Kakeyama,Slot MacHines,Male,Player,DF,MF,Fire,Rough Play,663,0.0
223,Nao Atsuta,Bill Steakspear,Male,Player,DF,MF,Mountain,Tension,663,0.0
224,Jo Ikegaki,Joe Ingram,Male,Player,GK,FW,Fire,Bond,656,0.0
225,Kiwamu Himejima,Kendall Sefton,Male,Player,DF,FW,Wind,Justice,663,0.0
226,Yasushi Kikuchi,Jason Strike,Male,Player,DF,FW,Fire,Counter,663,0.0
227,Hakobu Noma,Norman Porter,Male,Player,DF,MF,Mountain,Bond,663,0.0
228,Kyogo Mukaiyama,Maxwell Claus,Male,Player,DF,MF,Forest,Justice,663,0.0
229,Shiito Chaki,Bruce Chaney,Male,Player,MF,FW,Forest,Tension,667,0.0
230,Rinsuke Kano,Leroy Rhymes,Male,Player,MF,FW,Wind,Breach,667,0.0
231,Seiichi Tachino,Mildford Scott,Male,Player,MF,DF,Forest,Tension,667,0.0
232,Yo Idemae,Lou Edmonds,Male,Player,FW,MF,Fire,Tension,672,0.0
233,Hidetsugu Yasunaga,Cameron Morefield,Male,Player,MF,FW,Wind,Justice,667,0.0
234,Seiji Mizuguchi,Greg Bernard,Male,Player,FW,MF,Forest,Breach,666,0.0
235,Koji Tsutsumi,Peter Banker,Male,Player,GK,FW,Wind,Breach,656,0.0
236,Naruto Tomooka,Saul Tunk,Male,Player,MF,FW,Fire,Rough Play,667,0.0
237,Tameo Marude,Alan Most,Male,Player,DF,MF,Mountain,Counter,663,0.0
238,Mitsuru Ishizaki,Paul Caperock,Male,Player,DF,FW,Wind,Tension,663,0.0
239,Yusuke Kozuka,Julius Molehill,Male,Player,DF,MF,Wind,Tension,663,0.0
240,Sato Kizaki,Clint Loggan,Female,Manager,FW,GK,Forest,Counter,666,0.0
241,Sumiko Yaono,Suzanne Yuma,Female,Player,GK,MF,Mountain,Bond,656,0.0
242,Tome Fudeyama,Tammy Fielding,Female,Player,DF,MF,Forest,Breach,663,0.0
243,Konomi Otama,Alex Lovely,Female,Player,DF,MF,Wind,Counter,663,0.0
244,Hitoshi Honemaru,Louis Hillside,Male,Player,DF,MF,Fire,Tension,663,0.0
245,Nao Shitto,Ness Sheldon,Male,Player,DF,GK,Mountain,Bond,663,0.0
246,Ritsuko Tachimi,Lizzy Squirrel,Female,Player,MF,DF,Wind,Breach,667,0.0
247,Yasunori Misemachi,Kippy Jones,Male,Player,MF,DF,Forest,Breach,667,0.0
248,Makoto Utagawa,Fayette Riversong,Male,Player,MF,FW,Mountain,Justice,667,0.0
249,Sarina Kisaragi,Samantha Moonlight,Female,Player,FW,MF,Wind,Bond,671,0.0
250,Saburo Mikawaya,Mitch Sandstone,Male,Player,MF,FW,Fire,Justice,667,0.0
251,Iwao Purogure,Eddie Prentice,Male,Player,FW,MF,Mountain,Justice,666,0.0
252,Yuji Iemori,Alf Holmes,Male,Player,GK,MF,Forest,Tension,656,0.0
253,Masayoshi Ebisu,Ian Stager,Male,Player,DF,FW,Forest,Breach,663,0.0
254,Kamao Ikuji,Fred Crumb,Male,Player,DF,MF,Mountain,Bond,663,0.0
255,Nobuya Eji,Doug Baughan,Male,Player,FW,MF,Wind,Justice,666,0.0
256,Sayaka Tanabe,Pip Daltry,Female,Player,DF,MF,Forest,Justice,663,0.0
257,Keita Kakuma,Chester Horse Jr,Male,Player,MF,DF,Forest,Breach,667,0.0
258,Yuka Goenji,Julia Blaze,Female,Player,MF,FW,Fire,Breach,683,0.0
262,Kyo Azuma,Andy,Male,Player,DF,MF,Mountain,Counter,672,0.0
263,Tsukushi Otani,Aurelia Dingle,Female,Player,MF,DF,Forest,Justice,684,0.0
264,Maha Hayami,Jimmy Mach,Male,Player,FW,MF,Wind,Breach,666,0.0
265,Arashi Oda,Tony Hacker,Male,Player,MF,DF,Forest,Bond,667,0.0
266,Sumio Kabuto,Dan Rhino,Male,Player,MF,DF,Mountain,Justice,667,0.0
267,Hanji Shirabe,Vin Fleetwood,Male,Player,FW,DF,Wind,Counter,666,0.0
268,Fuyuki Genbu,George Winters,Male,Player,FW,MF,Forest,Justice,671,0.0
269,Kotaro Tsuchino,Den Hidden,Male,Player,GK,MF,Mountain,Tension,656,0.0
270,Mau Chono,Shaun Imago,Male,Player,DF,MF,Wind,Bond,663,0.0
271,Go Maeda,Joe Straiter,Male,Player,GK,MF,Fire,Bond,656,0.0
272,Ikuo Yarino,Rupert Spiers,Male,Player,MF,DF,Wind,Justice,667,0.0
273,Tsuyoshi Saiun,Mark Sudor,Male,Player,GK,DF,Mountain,Rough Play,656,0.0
274,Yaiba Kuwagata,Ringo Stagg,Male,Player,DF,MF,Wind,Justice,663,0.0
275,Kyuji Yano,Jody MacGough,Male,Player,DF,FW,Mountain,Bond,663,0.0
276,Chu Ino,Jeeves Dropper,Male,Player,MF,DF,Wind,Bond,667,0.0
277,Dan Dando,Dan Dandy,Male,Player,DF,MF,Wind,Justice,663,0.0
278,Jin Raimei,Rory Boomer,Male,Player,MF,FW,Mountain,Rough Play,667,0.0
279,Nao Arumi,Tim Toppel,Male,Player,GK,DF,Forest,Rough Play,656,0.0
280,Toshio Okubo,Ames Shivers,Male,Player,GK,DF,Forest,Rough Play,656,0.0
281,Ren Kotegawa,Chris Glover,Male,Player,MF,DF,Forest,Rough Play,667,0.0
282,Ponta Kameda,Thor Toise,Male,Player,MF,DF,Mountain,Counter,667,0.0
283,Tatsumi Habu,Colin Salts,Male,Player,FW,MF,Forest,Counter,666,0.0
284,Shintaro Takasugi,Christian Dear,Male,Player,DF,MF,Forest,Bond,663,0.0
285,Masanari Kusunoki,Iggy Loyaller,Male,Player,FW,DF,Forest,Justice,666,0.0
286,Nozomu Shinano,Conan Fox,Male,Player,GK,DF,Mountain,Rough Play,656,0.0
287,Kurinosuke Iga,Spike Coiffs,Male,Player,DF,MF,Wind,Bond,663,0.0
288,Tatsuo Kamai,Roger Rocket,Male,Player,DF,MF,Wind,Breach,663,0.0
289,Yoichi Nasu,Bill Teller,Male,Player,DF,FW,Forest,Tension,663,0.0
290,Arata Kongo,Billy Nomates,Male,Player,GK,DF,Forest,Tension,656,0.0
291,Takuto Kazamukai,Harry Caine,Male,Player,GK,DF,Wind,Breach,656,0.0
292,Aoto Kamakiri,Martin Sheller,Male,Player,FW,MF,Fire,Tension,665,0.0
293,Genki Mori,Alfie Fine,Male,Player,GK,MF,Forest,Bond,656,0.0
294,Shoji Sharaku,Cameron Mann,Male,Player,MF,DF,Mountain,Bond,667,0.0
295,Iwao Sadanori,Don Keys,Male,Player,FW,MF,Fire,Justice,666,0.0
296,Noboru Higashi,Sonny East,Male,Player,GK,DF,Forest,Justice,656,0.0
297,Toji Rajomon,Dan Carpenter,Male,Player,GK,DF,Mountain,Rough Play,656,0.0
298,Takashi Saigo,Doug Walker,Male,Player,GK,MF,Mountain,Tension,656,0.0
299,Ryo Sakamoto,Frank Drake,Male,Player,DF,MF,Wind,Rough Play,663,0.0
300,Yoji Shiwasu,Chris Massey,Male,Player,DF,MF,Forest,Breach,663,0.0
301,Kazuto Hotei,Carl Sacks,Male,Player,FW,MF,Mountain,Justice,666,0.0
302,Shin Hachisuga,Biff Beeston,Male,Player,GK,MF,Forest,Counter,656,0.0
303,Satoshi Mikuni,Lou Beigh,Male,Player,GK,DF,Forest,Tension,656,0.0
304,Akinobu Ishikura,Marv Errick,Male,Player,GK,MF,Fire,Counter,656,0.0
305,Kota Furai,Bob Whittle,Male,Player,FW,MF,Wind,Tension,666,0.0
306,Seiji Kaio,Bert Neptune,Male,Player,MF,DF,Forest,Breach,672,0.0
307,Moyuru Aso,Sol Crater,Male,Player,FW,MF,Fire,Justice,666,0.0
308,Sui Reizen,Percy Coldstair,Male,Player,DF,MF,Forest,Justice,672,0.0
309,Makoto Himawari,Dusky Sunfield,Male,Player,MF,FW,Wind,Justice,667,0.0
310,Rikimaru Miyake,Rocky Shears,Male,Player,GK,MF,Mountain,Bond,656,0.0
311,Katsuo Tokiwa,Percy Stent,Male,Player,GK,MF,Fire,Counter,656,0.0
312,Choji Ryuno,Art Pendragon,Male,Player,GK,FW,Wind,Bond,656,0.0
313,Hajime Uzuki,Dom Ittory,Male,Player,GK,DF,Mountain,Justice,656,0.0
314,Isao Kondo,Chaz Biggins,Male,Player,FW,MF,Mountain,Breach,666,0.0
315,Takashi Senju,Sly O'Hands,Male,Player,GK,MF,Wind,Bond,656,0.0
316,Shion Furano,Sean Lavender,Male,Player,FW,MF,Forest,Justice,665,0.0
317,Buruto Uin,Ace Server,Male,Player,GK,MF,Wind,Bond,656,0.0
318,Kaiji Katsu,Horace Nelson,Male,Player,GK,DF,Fire,Counter,656,0.0
319,Taiji Shotoku,Philip Prince,Male,Player,GK,DF,Forest,Breach,656,0.0
320,Satoshi Narita,Heath Rower,Male,Player,MF,DF,Wind,Rough Play,667,0.0
